"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"23723","00000000000D3BF4","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23724","00000000000EA67A","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23725","000000000014D248","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23726","00000000000D7AA3","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23727","00000000000E702F","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23728","00000000000B73DB","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23729","00000000000A585F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23730","00000000000D4948","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23731","00000000000F46F6","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23732","00000000000A5858","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23733","0000000000035C0B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23734","00000000000D19A7","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23735","0000000000086734","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23736","00000000000B92D3","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23737","00000000000E1B4E","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23738","000000000003309D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23739","00000000000EF19A","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23740","00000000000E85AB","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23741","00000000000CFA4B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23742","00000000000A8577","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23743","00000000000C4F0F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23744","00000000000D967F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23745","00000000001111F8","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23746","00000000000EA17A","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23747","00000000000D3D52","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23748","000000000007F081","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23749","000000000011BEFD","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23750","00000000000835AC","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23751","00000000000D4ACC","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23752","00000000000D7FEA","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23753","00000000000DE9A5","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23754","00000000000E97DD","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23755","00000000000D166E","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23756","00000000000D4401","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23757","00000000000B92FC","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23758","000000000013A04E","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23759","00000000000DBE97","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23760","000000000014D946","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23761","00000000000AE251","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23762","00000000000D7C9E","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23763","00000000000ABF6D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23764","00000000000E9923","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23765","000000000011BEEB","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23766","00000000000F1537","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23767","00000000000EC09A","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23768","00000000000E948E","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23769","0000000000140889","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23770","0000000000138502","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23771","00000000000D6D36","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23772","00000000000D1D70","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23773","00000000000E5D2A","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23774","00000000000D75D3","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23775","000000000000B868","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23776","00000000001112A9","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23777","00000000000A86FD","Kuopion lääni","","Muu","Mies","Naimisissa"
"23778","000000000014DAAD","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23779","000000000000B86A","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23780","00000000000144D9","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23781","0000000000014483","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
